season,episode_number,label,confidence,episode_title,emotion1,emotion1_prob,emotion2,emotion2_prob,summary
1,1,"['Coffee', 'Museum', 'Job', 'Gossip', 'Child', 'TV']","[0.482765168, 0.069502823, 0.65789783, 0.124360628, 0.205825001, 0.438422859]",Monica Gets A Roommate,surprise,0.252246416,joy,0.184625985,"Monica tries to downplay a potential date, while Ross is devastated after his divorce and struggles to move on. Rachel leaves her fiancé at the altar and seeks solace with Monica, reconnecting with old high school friends. Joey and Chandler provide comic relief, debating mundane topics and offering ill-timed advice. Monica goes on a date with ""Paul the Wine Guy,"" who reveals intimate struggles, while Rachel faces the reality of being independent. The friends rally around each other, with Ross hinting at his longstanding crush on Rachel, setting the stage for future dynamics."
1,2,"['Breakup', 'Child', 'Child', 'Gossip', 'Food']","[0.075539395, 0.100336947, 0.36291182, 0.222752348, 0.236300573]",The Sonogram At The End,surprise,0.250213009,love,0.195200675,"Monica, Phoebe, Rachel and Chandler are at a concert. They discuss the importance of kissing in their relationship. They also discuss the fact that after the concert, the girls are always looking for the comedian. Marsha and Ross are discussing Ross' ex-wife. Marsha thinks she has issues. Ross thinks she's a lesbian. Carol is pregnant. Carol's family is going well, Marty is paranoid. Phoebe and Joey are watching a TV show. Monica is angry at Chandler and Joey for fluffing Chandler's child's pillow. Monica doesn't want to give her parents any more ammunition. Rachel lost her engagement ring. Monica, Chandler, Phoebe and Joey will find it for her. Ross can do no wrong, he's the Prince, he had some big ceremony before I was born. Ross informs Monica that Carol is pregnant and wants Ross to be involved in the pregnancy. Chandler and Rachel are going in. Ross is waiting for them outside the door. Carol and Susan want Ross to get involved but he doesn't want to. Martha Ludwin's daughter is going to call Ross. She wants to know if he's going to go to the sonogram with them tomorrow. Ross doesn't know what to do, because he's a father. Ross will help Monica with the spaghetti. Monica wants to know if Mrs. Geller was planning to bring up the baby/lesbian thing with Rachel's parents. Rachel was married to a man for forty thousand dollars, but she left him. When Ross was a kid, he read alone in his room, and he had no friends. Now he has a museum and his papers getting published. Carol is a lesbian and she's pregnant with Ross' child. Rachel's parents are bad people. Mrs. Geller raised the baby. Phoebe's sister works as a waitress. Chandler was an only child and he had an imaginary friend. Rachel is nervous about Barry tomorrow. Ross advises her not to look too terrific as he's going to be a broken shell of a man. Rachel and Ross were in high school together. Ross and Rachel have a meeting with Carol and Susan tomorrow. Susan and Ross are waiting for Dr. Oberman, who is familiar with Carol's special situation. Ross is late, because he was stuck at work. Ross and Susan introduce Carol to each other. Ross opens Carol's cervix with a surgical instrament. Barry comes in. Rachel got a job. Ross and Susan agreed on Minnie as the baby's name. Barry went on his honeymoon to Aruba without Rachel. Robbie and Rachel will be back in a sec. Barry went with Mindy, Rachel's maid of honor. Barry is an orthodontist. Barry and Mindy are getting married. Barry wanted to hurt Rachel, but now he's happy. Rachel took the ring from Barry. Ross and Susan are arguing about the name of Helen Willick-Bunch. Ross wants to change it to Helen Geller-Willick. Carol and Susan think it's too hard for Ross. The mother-to-be is about to give birth. Monica is going to be an aunt. Ross, Susan, Carol, Phoebe, Joey and Chandler are excited. Rachel is fine. She saw Barry today. Mind told me that Mind and her partner are getting married and have kids. Mind hopes they have his old hairline and her old nose. Mind feels better now, because she feels better."
1,3,"['Gossip', 'Child', 'Child', 'Child', 'Friendship', 'Gossip', 'Food', 'Breakup']","[0.3679353, 0.362183362, 0.076231778, 0.128311455, 0.385850698, 0.107309535, 0.330977052, 0.078952491]",The Thumb,surprise,0.238585827,sadness,0.199353692,"Phoebe had a date. He walked her to the subway and said 'we should do it again'. Phoebe is not happy about it, because it's not a good idea.  Joey is about to die. Chandler and Joey are talking about the Millners' farm in Connecticut. Joey wants to go back to his cell to smoke. Chandler gives him a cigarette. Phoebe hasn't worked for a while and there's a lot of money in her bank account. Rachel serves drinks to Joey, Chandler and Monica. Phoebe is going through her mail and finds a statement from her bank. Phoebe bought a great pair of shoes. She doesn't want to keep them, because she didn't earn them. Chandler is smoking, because he's been good for three years. Monica has a date with Alan. She doesn't know how she feels about him yet. Monica doesn't want to meet him because after what happened with Steve, Monica's friends will be all over him. Phoebe's bank credited Monica's account with five hundred dollars and a football phone as a thank you gift. Monica wishes she could bring a guy home that she liked, but the odds are slim. Alan is on the intercom. Monica is going out with someone that she's going to call tomorrow. Monica, Rachel, Joey, Chandler, Ross and Phoebe are going to talk about Alan. Ross, Rachel, Monica, Chandler and Joey won the game thanks to Alan. Ross likes Alan for his David Hasselhof impression and the way he makes him feel about himself. Phoebe brought Lizzie alphabet soup. Phoebe left out the Ys in the vowels. She also left a thousand dollars and a football phone in the envelope. Lizzie will buy Phoebe a soda and keep the change. She doesn't want a pretzel, because she doesn't need it. All are annoyed with Chandler, Ross, Rachel and Monica. Monica is going out with a guy her friends all really like. Monica doesn't feel the same way about him as her friends do. Monica's friends all like him, but she doesn't. Alan wants to talk to Chandler on the phone about smoking. Chandler has had it with other people smoking. Joey, Monica, Ross and Paula are worried about Alan's health. Chandler smokes now and then. Ross is changing Chandler's nicotine patch. Chandler killed Joey's gum with his last stick of gum. Phoebe stepped in gum. She will have the rest of the Pop-Tart. Monica broke up with Alan. Ross wants things back the way they were, but Monica doesn't want it that way. Phoebe and Rachel are upset about it too. Alan is leaving Monica. Monica is upset about it. Alan is relieved, because he had a great time with Monica and Ross. Rachel and Phoebe are happy for him. Chandler is getting cigarettes. Phoebe threatens Chandler to give him seven thousand dollars if he doesn't smoke again. Chandler agrees to give Phoebe the money if he never does it again. He will do it."
1,4,"['Romance', 'Gossip']","[0.071423687, 0.097724177]",George Stephanopoulos,surprise,0.250511376,love,0.191628623,"Phoebe didn't sleep last night because of her grandmother. Joey would kill himself if he was omnipotent for a day. Chandler would make himself omnipotent forever. Rachel would make three wishes. Phoebe has a new boyfriend who is deaf and insecure in bed. Monica offers Phoebe to stay with her and Rachel tonight. Chandler and Joey are taking Ross to the Rangers-Penguins game at the Garden tonight. It's Ross' birthday today. Ross is going to go home and think about his ex-wife Carol and her lesbian lover. Joey and Chandler want to go ice hockey with Ross. Rachel got her first pay check. Phoebe worked in a mine and eight people were killed. Rachel works in a Dairy Queen. She earns a lot of money for a first job. Her friends are shocked that she works there. They cheer her up. Chandler thinks it's not that bad.  Leslie is pregnant. Joanne's dad is making partner in his firm. Kiki is engaged. Chandler, Joey, Leetch and Messier will take a break to look at some women's shoes. Ross walked her to the bus stop. Rachel has a job as a waitress. She writes specials on the specials board and sometimes Artelle lets her put chocolate blobbies on the cookies. Phoebe is staying over tonight. Monica and Phoebe are having a slumber party. Rachel hasn't used her card in weeks. The Visa card people want to check on Rachel's account. Monica is getting a coffee for herself. The FICA guys took all her money, everyone else is getting married, or getting promoted or getting pregnant, and Monica is getting coffee. Rachel has left the building and can't call Monica back. Rachel and Phoebe play Twister. Chandler, Rachel and Ross are sitting together. Jack and the Beanstalk is a story about a man who gave up a lot to get what he wanted. Rachel and Phoebe don't like the idea of Jack giving up anything. Rachel, Chandler, Ross and the receptionist are in a meeting. Ross is not satisfied with the candy bar he got. Chandler is worried about it. The receptionist tells Ross to fill out some forms. Phoebe, Monica, Joey, Ross, Rachel and the receptionist are waiting for their pizza. Rachel apologizes to them for bringing them down. Monica doesn't have a plan, Phoebe doesn't even have a 'pl'. Pizza Guy gives them a different pizza. Monica, Phoebe and Rachel are spying on George Stephanopoulos, Clinton's campaign manager. They want Pizza Guy to give them George Snuffalopagus' pizza back. Chandler and Phoebe have been waiting for over an hour in the waiting room. They are gossiping about the guy with the toe thing and George. Monica thinks George is shy and a preppy animal. Ross slept with Carol for the first time. He slept with her for seven years before she left him for another man. Ross has only been with one woman in his whole life. Phoebe slept with Jason Hurley for a couple of hours. Tommy Rollerson left a valentine for Phoebe in her locker. Monica and Rachel find him cute. Ross had sex with one woman. Chandler and Joey think it's great. Ross had fun tonight. The kid has Ross' hockey puck. Ross will give it back to the kid. Chandler will take Rachel's place on the mat. Ross, Phoebe, Joey and Monica will play Monopoly. Rachel will take Chandler's place. Rachel has a Visa card issue. (On the phone) Oh, I'm fine, as I said before, I don't need to talk to anyone right now, I am fine, and so is the phone."
1,5,"['Friendship', 'Sex']","[0.096595235, 0.235470906]",The East German Laundry Detergent,surprise,0.246075433,annoyed,0.185148952,"Chandler, Monica, Ross, Rachel, Joey and Phoebe are talking about the wonders of technology and men's penis. Chandler is going to try to pee standing up. He has no plans for Saturday night. Phoebe wants Chandler and Ross to break up with Janice and Phoebe with Tony. Rachel's father wants to give her a Mercedes convertible, so she's acting weird. Rachel and Monica are going to Laundorama tonight. Rachel's father called her a young lady. Rachel got the extended disco version of ""You'll never make it on your own"". Phoebe, Joey, Chandler and Monica agree with her. Rachel and Ross are doing laundry in Ross's building. Ross has a laundry room in his building, but there's a rat problem in his laundry room. Rachel will join Ross and Rachel tonight around 7. Angela is with Bob. Joey broke up with Angela's brother, Bob, because he's smart, sophisticated and has a real job. Monica doesn't want to go out with him. Ross and Rachel are going to do laundry. Chandler and Rachel are going on a date. Ross is going to change into dirty underwear and buy some fabric softener on the way. Monica and Joey find Bob attractive. Phoebe is happy they are not doing anything. Chandler and Phoebe are having a break-up. Chandler wants to rent a car and run over some puppies tomorrow. Janice had a bad day. She went shopping and got Chandler Bullwinkle socks. Chandler is going to get another espresso. Janice is still working on hers. Rachel saved the suds from her machine, but there were no suds in her basket. Rachel's friend took her machine. Rachel and Ross are going to do laundry. Ross will use the gentle cycle. Rachel will use detergent Uberveiss. Rachel has never done laundry before, but she knows other people that have. Bob and Angela grew up in Brooklyn Heights. Bob and Angela are in love with each other. Bob is smart and funny and has an emotional age beyond eight. Joey and Bob agree that Monica is too much for him in bed. Rachel is going to do her own laundry. Janice and Chandler don't want to go out anymore. Ross has already done the laundry. Monica's brother never told her when he lost his virginity. Rachel left a red sock in the laundry and now everything's pink. Ross is sorry, but Rachel doesn't want to be upset, because it could have happened to anyone. Monica has something in her eye and wants Joey to check it in the light. Joey and Monica want to break up with Ross and Janice. Joey wants to do it because he wants her. Chandler wants to break them up because he likes her too. Chandler hits Janice in the head. Chandler hit Janice in the eye with a broken glass. Phoebe thinks it's the worst break-up in the history of the world. Ross got the clothes clean. Rachel lost her cart. Rachel wants to take the cart from the woman, but she doesn't have any clothes in it. Rachel's clothes are in the dryer. Phoebe is going to do it. Chandler is not there. Chandler is free and Phoebe thinks it's a good idea to celebrate that fact with a song or two.  She suggests that Chandler should listen to it. "
1,6,"['Acting', 'Child']","[0.115137637, 0.080735385]",The Butt,surprise,0.263563644,sadness,0.212548445,"Rachel, Chandler, Phoebe, Ross, Joey, Eva and Monica are watching a play by Freud. Rachel feels violated. Phoeba doesn't like the title of the play.  There is a beautiful woman at 10 o'clock. Chandler wants to approach her. Monica, Rachel, Phoebe and Ross convince him to do it. Chandler walks over to her but just stands there. Chandler is in a play. Aurora is Italian and she pronounces his name 'Chand-lrr'. She said yes to him. Joey got a card from the usher. An agency left Joey's card at the Estelle Leonard Talent Agency. Chandler had a date with an Israeli woman who was in the Israeli army. Chandler rode the subway all the way to Brooklyn at night. Aurora and Aurora were in Yammon. Aurora is married to Rick and has a boyfriend Ethan. Chandler wants to know how she would feel about having sex with her husband. Chandler is seeing her again on Thursday. Monica thinks Chandler didn't listen to the story. Monica, Phoebe, Joey and Ross are discussing monogamy. Joey can't do it, because he needs to know that he's going out with more people than she is. Rachel likes the way they greet each other now.  Rachel moved the green ottoman to make an extra seat around the coffee table. Chandler, Phoebe and Monica are surprised that Rachel did that. Rachel thinks it looks great.  Monica is mad at Ross for not paying the phone bill right away. Chandler left a glass on the coffee table. Rachel went grocery shopping and bought laundry detergent, but it's not the one with the easy-pour spout. Phoebe and Joey will be there soon. Joey got a job in the new Al Pacino movie. He plays a butt double of the actor. Monica, Phoebe, Ross, Rachel and Chandler can't believe it. Ross, Monica, Joey, Chandler and Rachel will go to the big opening today. Joey will borrow some moisturizer from Monica. Aurora spent the night and Chandler wants to make her breakfast. Chandler has twenty minutes before Ethan arrives. Monica will help Chandler with the door. Chandler has spent too much time talking to people and wasted too many moments in his relationship with Aurora. Joey thanks Director for the opportunity and loses his robe. Joey is showering. Director wants to get a shot before lunch. Aurora will be late for her meeting with Rick. Chandler loves Aurora's fingers. Aurora is getting up and dressing and Chandler kisses her. Chandler wants to break up with Aurora. Aurora wants Chandler to stay with her. Chandler wants to lose the other guys. Aurora doesn't feel fulfilled by Rick, Ethan and herself. Chandler and Aurora are great together. Chandler is torn between two men. The first one runs the lips. The second one wants to break up with Chandler. Chandler has to listen to both of them. Joey got fired because he acted too much. Joey got a part in a play after six years of unsuccessful performances. He is disappointed. Monica is going to leave her shoes outside the theatre so that no-one will see her. Monica left her shoes in her room. Ross thinks she's a kook. She's going to get them tomorrow and then wake up really early and put them back. "
1,7,"['Child', 'Acting', 'Romance']","[0.37808305, 0.062162157, 0.318069935]",The Blackout,surprise,0.253098275,love,0.215483099,"The entire city is blacked out. Phoebe wants to call her grandma, but she doesn't have Monica's number. Chandler's girlfriend is Jill Goodacre, who has a Victoria's Secret model. Jill is stuck in an ATM in the bank. Chandler saw her with some guy last night. Joey is officiating at tonight's blackout. Joey's old roomate was Jewish, so he lit a bunch of candles. Chandler is on the phone with 300 guys he went to high school with. Chandler is trppd in an ATM vstbl wth Jll Gdcr. Monica will call Joey. Rachel will go to the women's room on the second floor of the New York CIty public library. Ross was at Disneyland in 1989, 'It's a Small World After All' but the ride broke down, so he and Carol went behind a couple of mechanical Dutch children and they were asked never to return to the Magic Kingdom. Phoebe was in a library in Milwaukee. Rachel went to a theme park, but she didn't like it. Rachel wants to marry him, but Ross thinks it's not a good idea. Joey says it's never going to happen, because Ross waited too long to make the move and now he's in the friend zone. Ross is waiting for the right moment to ask Rachel out. Joey and Rachel think he should go up to her and say ""I think that"". Jill offers him some gum, but he declines. Ross is going to throw a surprise birthday party for Monica. Joey can't tell Monica the reason for the surprise, so she has to promise not to tell Ross that he is planning it. Phoebe, Monica, Joey and Ross are at a surprise party. Monica and Joey already knew about it. Phoebe is always the last one to know things. Ross wants to ask a question. Tooty the cat is scared. Phoebe, Ross, Monica, Rachel and Chandler are going to put Tooty out in the hall. Mr. Heckles is looking for his cat's owner. Mr. Heckles has a cat named Bob Buttons. Phoebe and Rachel take the cat from him. Rachel, Monica, Ross and Paolo are playing Monopoly tonight. Rachel found Paolo's cat. He is attracted to Phoebe. Chandler chewed someone else's gum and now he's choking on it. Rachel and Chandler are talking about the cat that came into their lives. Jill gives Chandler the Heimlich because he's choking on gum. Rachel is in love with him. Monica and Phoebe want to bite his bottom lip. Rachel doesn't want to do it. Ross and Rachel are in a relationship. Ross doesn't want to have sex with Paolo. Ross would be sad if Paolo gets in the way of them becoming a thing. Paolo speaks English. Phoebe, Ross, Joey and Jill are throwing a party for Monica. The last candle in the room is about to burn out. Chandler is account number 7143457. He wants a copy of the tape."
1,8,"['Child', 'Breakup']","[0.081640728, 0.075792208]",Nana Dies Twice,surprise,0.242128634,disgust,0.208938329,"Shelley wants Chandler to go on a date on Saturday. Shelley thinks Chandler is not dating anybody, because she met someone who would be perfect for him. Chandler is shocked and can't enjoy a cup of noodles after that. Monica, Phoebe, Joey, Ross, Rachel and Susan Sallidor first met Chandler when he was seeing Bernie Spellman. Monica, Joey and Ross think he's smart, funny and smart. Paolo is calling from Rome. Monica's Nana is sick. Aunt Lillian says it's a matter of hours. Mrs. Geller is fine. Monica and Ross' mother stole mints from their house and from restaurants. Nana passed away, but she's not quite there yet. Aunt Lillian thinks she may have died. Phoebe and Joey don't feel she's really gone. Chandler has gay hair. Rachel sharpened Phoebe's pencil and gives her a pencil. Chandler looks gay. Mrs. Geller wants Ross to join her in the funeral. Joey thinks once you are dead, you're dead. When Mr. Geller dies, he wants to be buried at sea. Monica agrees with him. Shelley apologizes to Chandler for yesterday. Chandler doesn't care about it.  Chandler would like to be set up with Brian in Payroll. Shelley thinks Brian is out of Chandler's league. Aunt Lillian advises Ross to choose the burgundy dress. Ross is coming out.  Mrs. Geller, Aunt Lillian, Phoebe, Ross, Monica and Rachel are going to meet with Nana. They are looking for evening shoes for Ross. They need a slimmer heel and a burgundy one. Monica's mom reminded her not to wear her hair up. Rachel has earrings from Italy. Ross, Joey, Chandler, Monica, Rachel and Phoebe are at a funeral. They are watching a pre-game of Giants-Cowboys at the reception. Rachel has new Paolo shoes. Mrs. Geller gives Ross pills she took when she had a golfing accident. The pills worked wonders for Ross. Chandler and Monica are happy for Ross, who feels great after taking them. Ross loves Rachel the most. Joey has a hearing disability. Monica's grandmother would have hated Monica's funeral. Mrs. Geller would have spent too much money on flowers. Mrs Geller asks Monica what it's like to grow up with someone. Monica's mother was critical of every single thing she said. Monica's mother turned out to be a positive, life-affirming person. Mrs. Geller doesn't think it would have been better if she had told her the truth. She thinks some things are better left unsaid. Ross, Rachel, Monica, Lowell and Joey are looking at a photo of themselves and their friends at Java Joe's in 1939. Chandler and Lowell are working in Financial Services. Monica's grandmother was born in 1939 and she looks just like her grandson. Chandler and Lowell can tell each other apart most of the time. Chandler would like to get a friend, but Brian from Payroll is out of Chandler's league and he doesn't think he has a quality."
1,9,"['Thanksgiving', 'Child', 'Child', 'Acting']","[0.452575743, 0.088115796, 0.587692022, 0.067938812]",Underdog Gets Away,surprise,0.252847221,love,0.215593366,"Rachel wants to get an advance of $100 so that she can spend Thanksgiving with her family in Vail. Terry thinks she's a terrible waitress. Rachel is trying to improve her performance. Ross and Monica's parents are going to Puerto Rico for Thanksgiving. The Blymens invited them. Joey is wearing makeup and is officially Joey Tribbiani, actor slash model. Joey models for the city free clinic posters for the ""healthy, healthy, healthy guys"". Monica will cook Thanksgiving dinner at her place. Ross is going to Carol's. Phoebe will join them on Thursday. Chandler is boycotting all the pilgrim holidays. Rachel will go to Vail. Ross came to Susan to pick up his skull from the museum. Carol borrowed it for a class and Ross has to get it back to the museum because she's his ex-wife. Susan is reading Yertle the Turtle to the baby. Susan talks about Ross all the time. Rachel didn't make any money. Chandler is behind the experiment. Phoebe believes the baby can hear everything. Rachel will put her head inside the turkey and they will talk to the baby. Monica, Monica, Joey and Ross chipped in for Thanksgiving dinner. Chandler is nine years old and his parents are getting a divorce. Joey and Rachel used to work together at Macy's. Phoebe, Rachel, Phoebe and Monica are laughing. Joey is impressed with the girl's cologne. He wants to go for a drink with her, but she needs to do something. Chandler is depressed. Rachel got the tickets. Chandler prefers to keep a safe distance from all the merriment. Joey doesn't see any tater tots. Ross is going to talk to his unborn child. Phoebe has whipped the potatoes. Monica needs lumps. Chandler is going to the roof with Rachel. Underdog the cartoon dog got loose and was spotted flying over Washington Square Park. Rachel and Monica are waiting for Ross to open the door. Ross doesn't want to do it, but Carol convinces him it's fine. Rachel loved the moment when they first saw the giant dog shadow all over the park, but Phoebe thinks they should shoot him down. Ross picked paleontology as a major. Ross is singing to his baby. Rachel is going to get her ticket. Monica has a copy of Joey's key. Ross and Carol are singing to their baby. When Monica comes out, she will buy a bagel and go to the zoo with Chandler and Phoebe. Joey has one keyhole and about a zillion keys. Rachel didn't have the keys. Monica is making Thanksgiving dinner for everyone. The turkey's burnt, the potatoes are ruined. Rachel's plane is gone, so she's stuck with Joey, Monica, Chandler and Ross. Ugly Naked Guy is having Thanksgiving dinner with Ugly Naked Gal. Chandler will carve the turkey. Joey will split the sandwich with Monica. Chandler would like to propose to Phoebe. Ross, Rachel and Chandler are making a toast. Ross wishes a lousy Christmas and Rachel a crappy New Year. Chandler is happy with his 3 Tony Awards.   He's finally happy with that. "
1,10,"['Romance', 'Friendship']","[0.234064087, 0.230831578]",The Monkey,surprise,0.248358712,annoyed,0.195670334,"Ross wants Monica, Rachel, Phoebe and Chandler to meet Marcel, his friend who rescued him from a lab. Marcel is going to live with Ross in his apartment. Joey didn't get the job, so he will open with a song about his mother's suicide. Monica is going to be Santa Claus for New Year's. Joey is gonna be one of his helpers. Rachel is not going to celebrate the New Year because she has Paolo. Chandler and Phoebe are going to have dinner with their friends instead. Chandler is sick of Dick Clark's holiday. Phoebe Buffay is back by popular demand. She will sing a song that means a lot to her this time of the year. Rachel will introduce her. Phoebe feels a little bit sneezy. David tells Phoebe that he thought Daryl Hannah was the most beautiful woman he'd ever seen in his life. Chandler, Phoe be, Max and David are playing a game when David starts talking loudly. Phoebe went to see An Officer and a Gentleman with David. Phoebe and Monica think it's romantic. Rachel and Rachel haven't kissed him yet. David is smart, gentler and sweeter than Paolo. Chandler is going to ask Janice to New Year's. Phoebe is against it. Ross and Monica had their first fight this morning due to Chandler's working late. He threw some faeces. Chandler will look in on him for Phoebe if she's working late. David kissed her. He wanted it to be a phenomenal kiss, because he loves her. David is a sweeper trapped inside a physicist's body. Phoebe wants him to sweep and throw her down on the table. Chandler has a girlfriend. Monica has a no date pact. Rachel, Joey, Ross, Chandler and Monica have dates. Paolo is catching an earlier flight, Joey met a hot single mom at the store and Ross is going to be the only one standing alone at the ball drop. Marcel keeps shutting Ross out. Chandler and Ross had a great time with David the other night. Max and his friends are going to Minsk, Russia, for three years, all expenses paid. Max is leaving on January first. David doesn't want to go to Minsk to work with Lifson and Yamaguchi and Flench on Nonononon onono. Phoebe tries to convince him to go, but he refuses. He decides to stay with his girlfriend and kisses her. Monica is on a diet. Marcel and Marcel will do a little mingling at Ross' party. Rachel was at the airport, getting into a cab, when a woman started yelling at her. Paolo missed his flight and is in Rome. Monica is late to the party. Monica's grandfather died two hours ago. Monica, Ross, Monica, Sandy, Joey, Phoebe, Chandler and Janice are having a good time. David is not going to Minsk without Phoebe. Joey and Fun Bobby are going to see Fun Bobby's open casket. Ross is taking a photo of them. Chandler is sorry he invited Janice to the party, but she didn't know it meant they were going to meet. David is going to Minsk to work. Phoebe doesn't want him to go, but he has no choice. They kiss. Dick Clark is live in Times Square. It's New Year's Eve in Times Square. Chandler, Joey, Monica, Rachel, Phoebe and Monica are celebrating. Sandy is in Monica's bedroom with Max, a scientist geek. Monica can't kiss anyone. Joey can't kiss Ross because he's Joey's brother. Chandler wants to kiss Joey. Ross takes a photo of everyone kissing him. Rachel is angry at Marcel because he doesn't love her."
