Season,Episode,Topic,Label,Confidence,Topic Words
1,1,0,Coffee,0.482765168,"['coffee', 'rachel', 'chandler', 'monica', 'joey', 'la', 'monicas', 'ross', 'always', 'oh']"
1,1,0,Food,0.215293795,"['coffee', 'rachel', 'chandler', 'monica', 'joey', 'la', 'monicas', 'ross', 'always', 'oh']"
1,1,0,Child,0.112966277,"['coffee', 'rachel', 'chandler', 'monica', 'joey', 'la', 'monicas', 'ross', 'always', 'oh']"
1,1,0,Roommates,0.066807017,"['coffee', 'rachel', 'chandler', 'monica', 'joey', 'la', 'monicas', 'ross', 'always', 'oh']"
1,1,1,Museum,0.069502823,"['okay', 'yeah', 'oh', 'sure', 'know', 'yes', 'maybe', 'sorry', 'god', 'well']"
1,1,1,Child,0.067109592,"['okay', 'yeah', 'oh', 'sure', 'know', 'yes', 'maybe', 'sorry', 'god', 'well']"
1,1,1,Sofa,0.05708329,"['okay', 'yeah', 'oh', 'sure', 'know', 'yes', 'maybe', 'sorry', 'god', 'well']"
1,1,1,Breakup,0.054696593,"['okay', 'yeah', 'oh', 'sure', 'know', 'yes', 'maybe', 'sorry', 'god', 'well']"
1,1,2,Job,0.65789783,"['go', 'think', 'job', 'dont', 'work', 'okay', 'right', 'get', 'ta', 'got']"
1,1,2,Gossip,0.026991535,"['go', 'think', 'job', 'dont', 'work', 'okay', 'right', 'get', 'ta', 'got']"
1,1,2,Child,0.025517922,"['go', 'think', 'job', 'dont', 'work', 'okay', 'right', 'get', 'ta', 'got']"
1,1,2,Fight,0.022726411,"['go', 'think', 'job', 'dont', 'work', 'okay', 'right', 'get', 'ta', 'got']"
1,1,3,Gossip,0.124360628,"['cut', 'cant', 'thing', 'believe', 'watch', 'know', 'im', 'leg', 'brackety', 'hearing']"
1,1,3,TV,0.108481869,"['cut', 'cant', 'thing', 'believe', 'watch', 'know', 'im', 'leg', 'brackety', 'hearing']"
1,1,3,Breakup,0.10056664,"['cut', 'cant', 'thing', 'believe', 'watch', 'know', 'im', 'leg', 'brackety', 'hearing']"
1,1,3,Fight,0.072757415,"['cut', 'cant', 'thing', 'believe', 'watch', 'know', 'im', 'leg', 'brackety', 'hearing']"
1,1,4,Child,0.205825001,"['na', 'wan', 'date', 'shoe', 'woman', 'phone', 'fifth', 'im', 'want', 'daddy']"
1,1,4,Sex,0.183221102,"['na', 'wan', 'date', 'shoe', 'woman', 'phone', 'fifth', 'im', 'want', 'daddy']"
1,1,4,Romance,0.158262193,"['na', 'wan', 'date', 'shoe', 'woman', 'phone', 'fifth', 'im', 'want', 'daddy']"
1,1,4,Clothes,0.102719143,"['na', 'wan', 'date', 'shoe', 'woman', 'phone', 'fifth', 'im', 'want', 'daddy']"
1,1,5,TV,0.438422859,"['paul', 'wine', 'guy', 'everybody', 'hi', 'hey', 'know', 'two', 'normal', 'show']"
